filename,width,height,class,xmin,ymin,xmax,ymax
s_DSCF1092.JPG,300,225,5,134,125,207,167
s_DSCF1092.JPG,300,225,3,204,84,265,125
s_DSCF1094.JPG,300,225,4,113,85,194,133
s_DSCF1097.JPG,300,225,5,109,52,204,105
s_DSCF1099.JPG,300,225,6,91,45,183,92
s_DSCF1101.JPG,300,225,2,83,88,158,129
s_DSCF1103.JPG,300,225,6,121,44,178,74
s_DSCF1103.JPG,300,225,5,96,154,165,197
s_DSCF1104.JPG,300,225,5,141,40,197,67
s_DSCF1104.JPG,300,225,1,134,146,197,181
s_DSCF1105.JPG,300,225,2,89,83,197,145
s_DSCF1106.JPG,300,225,2,98,88,193,139
s_DSCF1109.JPG,300,225,3,86,72,183,125
s_DSCF1110.JPG,300,225,3,56,61,151,114
s_DSCF1110.JPG,300,225,1,157,65,254,118
s_DSCF1111.JPG,300,225,6,155,71,239,118
s_DSCF1111.JPG,300,225,2,55,71,140,119
s_DSCF1114.JPG,300,225,6,126,96,207,138
s_DSCF1116.JPG,300,225,5,126,119,208,162
s_DSCF1120.JPG,300,225,3,101,104,210,162
s_DSCF1122.JPG,300,225,5,121,78,204,122
s_DSCF1125.JPG,300,225,1,80,76,134,110
s_DSCF1125.JPG,300,225,6,98,114,165,154
s_DSCF1125.JPG,300,225,2,197,102,262,140
s_DSCF1129.JPG,300,225,6,115,145,180,186
s_DSCF1130.JPG,300,225,1,124,140,186,179
s_DSCF1132.JPG,300,225,1,226,82,266,103
s_DSCF1132.JPG,300,225,4,187,105,261,148
s_DSCF1132.JPG,300,225,5,14,136,129,197
s_DSCF1133.JPG,300,225,1,111,98,204,167
s_DSCF1135.JPG,300,225,6,148,101,197,130
s_DSCF1137.JPG,300,225,2,154,93,224,132
s_DSCF1140.JPG,300,225,6,141,48,206,72
s_DSCF1141.JPG,300,225,2,147,54,211,77
s_DSCF1142.JPG,300,225,2,75,98,148,130
s_DSCF1142.JPG,300,225,1,165,99,237,131
